#Base	%GC
1	44.37453092741993
2	41.683492693455946
3	40.48156962523103
4	42.81947158321354
5	41.88074989760732
6	42.836992048089876
7	42.506417658431786
8	41.86028040776729
9	42.303474046115085
10-14	42.59829504385693
15-19	42.56339791717233
20-24	42.791974498944604
25-29	42.860084135479276
30-34	43.04854658516063
35-39	43.00250597450324
40-44	43.139945427104095
45-49	43.078997391664906
50-54	43.13577892949585
55-59	43.10847626229008
60-64	43.19415715548593
65-69	43.13417652530471
70-74	43.158876898044355
75-79	43.13311870543377
80-84	43.16756454607615
85-89	43.145472690301176
90	43.19871034998492
