#GC Content	Count
0	19884.0
1	12194.5
2	3920.5
3	3372.0
4	3668.0
5	4210.5
6	4817.5
7	5477.0
8	6152.0
9	6863.5
10	7235.0
11	7789.5
12	9074.5
13	10862.0
14	13792.0
15	19129.5
16	28103.0
17	41964.0
18	64055.0
19	97795.5
20	117797.0
21	145279.0
22	208644.0
23	289892.5
24	389016.5
25	505034.0
26	636127.0
27	780591.0
28	934382.0
29	1093607.5
30	1174672.0
31	1257822.5
32	1426481.0
33	1602504.5
34	1785800.0
35	1970145.5
36	2148041.0
37	2312660.0
38	2454788.0
39	2558978.5
40	2599330.0
41	2617275.5
42	2625742.0
43	2584402.5
44	2497947.0
45	2364090.0
46	2192509.0
47	1995668.0
48	1781530.5
49	1568906.0
50	1465897.0
51	1367295.5
52	1186874.0
53	1041040.5
54	926439.5
55	838034.5
56	766965.5
57	701691.0
58	642222.0
59	587926.5
60	561077.0
61	534919.5
62	485590.5
63	441948.0
64	401952.0
65	363281.5
66	325059.5
67	287009.0
68	248298.5
69	209463.0
70	190364.0
71	173532.0
72	141288.0
73	112542.5
74	88156.0
75	68190.5
76	52254.0
77	39861.5
78	30525.0
79	23577.0
80	20597.0
81	18534.0
82	14878.5
83	12194.0
84	10086.0
85	8353.0
86	7014.0
87	5988.0
88	5080.0
89	4303.0
90	4030.0
91	3756.5
92	3227.0
93	2758.0
94	2352.0
95	1992.0
96	1665.5
97	1379.0
98	1045.5
99	667.5
100	496.0
