#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	32.41152176092758	34.0	31.0	34.0	31.0	34.0
2	32.54840377601117	34.0	31.0	34.0	31.0	34.0
3	32.587161399919154	34.0	33.0	34.0	31.0	34.0
4	35.90401879010154	37.0	37.0	37.0	35.0	37.0
5	35.89221416883107	37.0	37.0	37.0	35.0	37.0
6	35.92224911966177	37.0	37.0	37.0	35.0	37.0
7	35.92559678766872	37.0	37.0	37.0	35.0	37.0
8	35.92881699628383	37.0	37.0	37.0	35.0	37.0
9	37.73159621168615	39.0	39.0	39.0	35.0	39.0
10-14	37.95347651506881	39.4	39.2	39.4	35.4	39.4
15-19	39.11202985802742	41.0	40.0	41.0	36.6	41.0
20-24	38.94814827104094	41.0	40.0	41.0	36.0	41.0
25-29	38.69160609435729	41.0	39.2	41.0	35.6	41.0
30-34	38.35857194171729	41.0	39.0	41.0	34.6	41.0
35-39	38.33110349655577	41.0	39.0	41.0	34.8	41.0
40-44	38.04493450324109	40.6	38.6	41.0	34.0	41.0
45-49	37.696843273217965	40.0	38.0	41.0	33.0	41.0
50-54	36.936362686359836	39.6	37.0	40.6	32.2	41.0
55-59	36.98277624683781	40.0	36.4	41.0	32.0	41.0
60-64	36.48793369708983	39.4	35.4	41.0	31.6	41.0
65-69	35.698685400658334	38.2	35.0	40.6	30.8	41.0
70-74	34.83551162308436	36.6	35.0	39.4	29.8	41.0
75-79	33.88778411820155	35.4	34.6	38.0	29.0	39.8
80-84	32.97147271013911	35.0	34.0	36.6	27.8	38.6
85-89	32.12632370965775	35.0	34.0	35.6	26.0	37.0
90	31.5863496400905	35.0	34.0	35.0	24.0	36.0
